Name,Code,year,current gross exports,Sector
"Textiles","0",2000,"$13,843,876,070","Textiles"
"Textiles","0",2001,"$12,634,653,728","Textiles"
"Textiles","0",2002,"$13,575,111,512","Textiles"
"Textiles","0",2003,"$15,190,568,114","Textiles"
"Textiles","0",2004,"$16,877,749,738","Textiles"
"Textiles","0",2005,"$17,413,255,576","Textiles"
"Textiles","0",2006,"$16,904,059,104","Textiles"
"Textiles","0",2007,"$21,054,876,014","Textiles"
"Textiles","0",2008,"$19,394,151,318","Textiles"
"Textiles","0",2009,"$14,615,476,024","Textiles"
"Textiles","0",2010,"$17,144,216,905","Textiles"
"Textiles","0",2011,"$20,003,993,647","Textiles"
"Textiles","0",2012,"$21,870,478,601","Textiles"
"Textiles","0",2013,"$22,654,039,865","Textiles"
"Textiles","0",2014,"$25,970,325,732","Textiles"
"Textiles","0",2015,"$25,950,673,081","Textiles"
"Textiles","0",2016,"$23,341,613,879","Textiles"
"Textiles","0",2017,"$23,692,908,887","Textiles"
"Textiles","0",2018,"$24,357,204,439","Textiles"
"Textiles","0",2019,"$29,539,841,226","Textiles"
"Textiles","0",2020,"$18,979,668,965","Textiles"
"Textiles","0",2021,"$16,895,778,861","Textiles"
"Textiles","0",2022,"$17,054,052,862","Textiles"
"Agriculture","1",2000,"$36,019,635,671","Agriculture"
"Agriculture","1",2001,"$32,926,240,301","Agriculture"
"Agriculture","1",2002,"$35,273,265,560","Agriculture"
"Agriculture","1",2003,"$40,511,023,710","Agriculture"
"Agriculture","1",2004,"$45,411,699,498","Agriculture"
"Agriculture","1",2005,"$45,854,482,190","Agriculture"
"Agriculture","1",2006,"$44,629,471,913","Agriculture"
"Agriculture","1",2007,"$56,091,091,341","Agriculture"
"Agriculture","1",2008,"$56,282,685,150","Agriculture"
"Agriculture","1",2009,"$45,326,049,972","Agriculture"
"Agriculture","1",2010,"$51,356,306,261","Agriculture"
"Agriculture","1",2011,"$60,391,325,999","Agriculture"
"Agriculture","1",2012,"$61,038,144,424","Agriculture"
"Agriculture","1",2013,"$62,057,720,046","Agriculture"
"Agriculture","1",2014,"$68,626,362,056","Agriculture"
"Agriculture","1",2015,"$63,610,628,264","Agriculture"
"Agriculture","1",2016,"$59,930,037,272","Agriculture"
"Agriculture","1",2017,"$62,602,193,174","Agriculture"
"Agriculture","1",2018,"$63,807,235,278","Agriculture"
"Agriculture","1",2019,"$68,153,236,485","Agriculture"
"Agriculture","1",2020,"$55,025,244,282","Agriculture"
"Agriculture","1",2021,"$53,068,240,364","Agriculture"
"Agriculture","1",2022,"$54,983,177,042","Agriculture"
"Stone","2",2000,"$49,243,684,986","Stone"
"Stone","2",2001,"$45,366,008,074","Stone"
"Stone","2",2002,"$47,837,512,293","Stone"
"Stone","2",2003,"$54,165,822,634","Stone"
"Stone","2",2004,"$62,050,811,617","Stone"
"Stone","2",2005,"$64,123,746,583","Stone"
"Stone","2",2006,"$62,249,111,221","Stone"
"Stone","2",2007,"$78,036,102,981","Stone"
"Stone","2",2008,"$80,406,888,938","Stone"
"Stone","2",2009,"$61,486,621,894","Stone"
"Stone","2",2010,"$72,159,425,279","Stone"
"Stone","2",2011,"$87,693,685,172","Stone"
"Stone","2",2012,"$88,026,160,195","Stone"
"Stone","2",2013,"$162,035,942,843","Stone"
"Stone","2",2014,"$124,083,844,175","Stone"
"Stone","2",2015,"$120,227,020,838","Stone"
"Stone","2",2016,"$90,153,265,102","Stone"
"Stone","2",2017,"$95,608,548,526","Stone"
"Stone","2",2018,"$113,251,798,769","Stone"
"Stone","2",2019,"$110,817,712,127","Stone"
"Stone","2",2020,"$98,950,139,170","Stone"
"Stone","2",2021,"$119,235,724,486","Stone"
"Stone","2",2022,"$142,951,122,686","Stone"
"Minerals","3",2000,"$72,133,620,729","Minerals"
"Minerals","3",2001,"$66,160,213,075","Minerals"
"Minerals","3",2002,"$68,658,517,077","Minerals"
"Minerals","3",2003,"$77,055,936,602","Minerals"
"Minerals","3",2004,"$90,284,113,698","Minerals"
"Minerals","3",2005,"$98,803,488,459","Minerals"
"Minerals","3",2006,"$99,605,658,783","Minerals"
"Minerals","3",2007,"$121,903,269,140","Minerals"
"Minerals","3",2008,"$138,648,942,505","Minerals"
"Minerals","3",2009,"$99,148,131,144","Minerals"
"Minerals","3",2010,"$120,530,647,576","Minerals"
"Minerals","3",2011,"$149,651,309,227","Minerals"
"Minerals","3",2012,"$151,123,626,096","Minerals"
"Minerals","3",2013,"$219,453,240,605","Minerals"
"Minerals","3",2014,"$177,358,688,204","Minerals"
"Minerals","3",2015,"$151,406,604,114","Minerals"
"Minerals","3",2016,"$115,429,034,412","Minerals"
"Minerals","3",2017,"$130,289,096,387","Minerals"
"Minerals","3",2018,"$157,709,623,849","Minerals"
"Minerals","3",2019,"$149,161,516,079","Minerals"
"Minerals","3",2020,"$125,170,690,821","Minerals"
"Minerals","3",2021,"$155,889,429,417","Minerals"
"Minerals","3",2022,"$206,349,742,107","Minerals"
"Metals","4",2000,"$85,371,841,304","Metals"
"Metals","4",2001,"$78,936,270,131","Metals"
"Metals","4",2002,"$81,556,301,630","Metals"
"Metals","4",2003,"$92,038,740,916","Metals"
"Metals","4",2004,"$110,272,477,537","Metals"
"Metals","4",2005,"$121,158,723,737","Metals"
"Metals","4",2006,"$123,997,507,095","Metals"
"Metals","4",2007,"$153,682,201,486","Metals"
"Metals","4",2008,"$171,408,655,414","Metals"
"Metals","4",2009,"$118,406,341,661","Metals"
"Metals","4",2010,"$144,353,627,755","Metals"
"Metals","4",2011,"$178,710,730,722","Metals"
"Metals","4",2012,"$177,457,040,272","Metals"
"Metals","4",2013,"$244,809,619,722","Metals"
"Metals","4",2014,"$204,682,957,599","Metals"
"Metals","4",2015,"$172,836,302,260","Metals"
"Metals","4",2016,"$134,012,651,776","Metals"
"Metals","4",2017,"$151,078,653,644","Metals"
"Metals","4",2018,"$179,812,981,347","Metals"
"Metals","4",2019,"$169,906,953,747","Metals"
"Metals","4",2020,"$143,495,961,002","Metals"
"Metals","4",2021,"$179,348,048,588","Metals"
"Metals","4",2022,"$231,951,278,912","Metals"
"Chemicals","5",2000,"$126,133,553,771","Chemicals"
"Chemicals","5",2001,"$120,140,755,541","Chemicals"
"Chemicals","5",2002,"$125,307,708,800","Chemicals"
"Chemicals","5",2003,"$144,073,619,999","Chemicals"
"Chemicals","5",2004,"$169,243,473,062","Chemicals"
"Chemicals","5",2005,"$181,964,638,644","Chemicals"
"Chemicals","5",2006,"$189,506,837,045","Chemicals"
"Chemicals","5",2007,"$232,457,755,605","Chemicals"
"Chemicals","5",2008,"$253,854,797,399","Chemicals"
"Chemicals","5",2009,"$189,185,841,564","Chemicals"
"Chemicals","5",2010,"$219,789,051,597","Chemicals"
"Chemicals","5",2011,"$262,945,516,180","Chemicals"
"Chemicals","5",2012,"$261,361,095,563","Chemicals"
"Chemicals","5",2013,"$322,895,105,507","Chemicals"
"Chemicals","5",2014,"$286,791,659,310","Chemicals"
"Chemicals","5",2015,"$251,694,693,726","Chemicals"
"Chemicals","5",2016,"$205,474,753,175","Chemicals"
"Chemicals","5",2017,"$224,235,771,250","Chemicals"
"Chemicals","5",2018,"$252,809,766,900","Chemicals"
"Chemicals","5",2019,"$238,893,077,186","Chemicals"
"Chemicals","5",2020,"$212,096,437,925","Chemicals"
"Chemicals","5",2021,"$250,337,338,424","Chemicals"
"Chemicals","5",2022,"$310,221,412,322","Chemicals"
"Vehicles","6",2000,"$155,165,610,706","Vehicles"
"Vehicles","6",2001,"$145,621,071,805","Vehicles"
"Vehicles","6",2002,"$154,750,270,125","Vehicles"
"Vehicles","6",2003,"$177,544,698,958","Vehicles"
"Vehicles","6",2004,"$208,742,519,516","Vehicles"
"Vehicles","6",2005,"$224,089,261,715","Vehicles"
"Vehicles","6",2006,"$230,965,282,128","Vehicles"
"Vehicles","6",2007,"$285,260,842,038","Vehicles"
"Vehicles","6",2008,"$307,134,247,641","Vehicles"
"Vehicles","6",2009,"$223,995,323,373","Vehicles"
"Vehicles","6",2010,"$264,529,927,310","Vehicles"
"Vehicles","6",2011,"$315,213,693,796","Vehicles"
"Vehicles","6",2012,"$317,340,970,781","Vehicles"
"Vehicles","6",2013,"$380,336,812,396","Vehicles"
"Vehicles","6",2014,"$356,165,516,783","Vehicles"
"Vehicles","6",2015,"$316,802,175,691","Vehicles"
"Vehicles","6",2016,"$274,674,064,924","Vehicles"
"Vehicles","6",2017,"$295,313,095,013","Vehicles"
"Vehicles","6",2018,"$322,271,329,755","Vehicles"
"Vehicles","6",2019,"$303,946,974,965","Vehicles"
"Vehicles","6",2020,"$261,268,757,220","Vehicles"
"Vehicles","6",2021,"$301,490,395,106","Vehicles"
"Vehicles","6",2022,"$362,701,149,200","Vehicles"
"Machinery","7",2000,"$216,867,002,772","Machinery"
"Machinery","7",2001,"$205,589,735,486","Machinery"
"Machinery","7",2002,"$211,360,705,044","Machinery"
"Machinery","7",2003,"$238,563,722,532","Machinery"
"Machinery","7",2004,"$276,621,324,869","Machinery"
"Machinery","7",2005,"$296,354,048,322","Machinery"
"Machinery","7",2006,"$309,241,250,178","Machinery"
"Machinery","7",2007,"$370,411,542,715","Machinery"
"Machinery","7",2008,"$390,222,184,295","Machinery"
"Machinery","7",2009,"$287,339,507,659","Machinery"
"Machinery","7",2010,"$335,042,898,681","Machinery"
"Machinery","7",2011,"$397,822,203,458","Machinery"
"Machinery","7",2012,"$398,176,515,233","Machinery"
"Machinery","7",2013,"$464,913,775,674","Machinery"
"Machinery","7",2014,"$445,978,371,931","Machinery"
"Machinery","7",2015,"$396,826,411,061","Machinery"
"Machinery","7",2016,"$350,584,873,681","Machinery"
"Machinery","7",2017,"$377,330,536,780","Machinery"
"Machinery","7",2018,"$410,589,221,534","Machinery"
"Machinery","7",2019,"$394,184,847,186","Machinery"
"Machinery","7",2020,"$338,719,873,350","Machinery"
"Machinery","7",2021,"$387,732,753,709","Machinery"
"Machinery","7",2022,"$456,242,426,752","Machinery"
"Electronics","8",2000,"$257,344,360,163","Electronics"
"Electronics","8",2001,"$244,252,021,750","Electronics"
"Electronics","8",2002,"$249,650,947,822","Electronics"
"Electronics","8",2003,"$269,955,753,702","Electronics"
"Electronics","8",2004,"$310,755,770,005","Electronics"
"Electronics","8",2005,"$342,213,062,220","Electronics"
"Electronics","8",2006,"$375,706,948,028","Electronics"
"Electronics","8",2007,"$404,004,369,607","Electronics"
"Electronics","8",2008,"$423,539,423,201","Electronics"
"Electronics","8",2009,"$309,586,843,339","Electronics"
"Electronics","8",2010,"$363,848,702,539","Electronics"
"Electronics","8",2011,"$429,473,624,708","Electronics"
"Electronics","8",2012,"$426,999,436,535","Electronics"
"Electronics","8",2013,"$493,154,908,493","Electronics"
"Electronics","8",2014,"$476,290,147,823","Electronics"
"Electronics","8",2015,"$423,484,343,586","Electronics"
"Electronics","8",2016,"$375,624,482,107","Electronics"
"Electronics","8",2017,"$403,711,866,619","Electronics"
"Electronics","8",2018,"$436,998,820,109","Electronics"
"Electronics","8",2019,"$419,906,981,469","Electronics"
"Electronics","8",2020,"$361,896,841,569","Electronics"
"Electronics","8",2021,"$411,992,491,762","Electronics"
"Electronics","8",2022,"$481,824,432,415","Electronics"
"Other","9",2000,"$277,412,076,712","Other"
"Other","9",2001,"$262,708,490,530","Other"
"Other","9",2002,"$263,256,104,732","Other"
"Other","9",2003,"$284,746,926,536","Other"
"Other","9",2004,"$328,486,242,330","Other"
"Other","9",2005,"$364,231,894,878","Other"
"Other","9",2006,"$394,854,469,948","Other"
"Other","9",2007,"$430,248,022,776","Other"
"Other","9",2008,"$459,607,579,222","Other"
"Other","9",2009,"$346,485,680,017","Other"
"Other","9",2010,"$392,879,825,973","Other"
"Other","9",2011,"$485,818,398,655","Other"
"Other","9",2012,"$462,427,181,912","Other"
"Other","9",2013,"$517,115,573,272","Other"
"Other","9",2014,"$484,602,703,713","Other"
